account_id,bureau_score,enquiries_6m,other_lenders
TH-100689,712,2,3
TH-104903,552,2,1
TH-100250,582,1,0
TH-102394,662,0,1
TH-103063,707,1,2
TH-104123,727,0,1
TH-101770,543,3,1
TH-102285,585,0,3
TH-104748,701,3,6
TH-102805,600,2,1
TH-101345,651,1,1
TH-103589,650,2,2
TH-100660,507,0,1
TH-103957,737,4,0
TH-104758,534,1,4
TH-103472,602,2,1
TH-102029,624,1,1
TH-103262,582,1,2
TH-104499,555,3,1
TH-104642,607,0,5
TH-102657,635,1,1
TH-103194,709,1,2
TH-104608,559,2,2
TH-103231,488,3,4
TH-100639,689,2,2
TH-103796,528,3,1
TH-100504,300,1,0
TH-102252,741,2,1
TH-102291,635,2,0
TH-103697,681,1,1
TH-103704,699,4,5
TH-102991,655,1,3
TH-101007,616,2,0
TH-101515,649,3,3
TH-101510,660,0,0
TH-104666,719,0,0
TH-101423,491,1,3
TH-100973,581,0,0
TH-104088,558,3,3
TH-104296,583,1,2
TH-103882,668,0,2
TH-104505,633,1,1
TH-102712,592,3,1
TH-102707,657,1,0
TH-104962,702,5,1
TH-100902,602,4,2
TH-100593,578,3,1
TH-101874,479,1,0
TH-100287,675,0,1
TH-102554,609,2,2
TH-102943,651,2,1
TH-103936,627,2,1
TH-103989,762,0,5
TH-104142,606,0,1
TH-101613,579,1,2
TH-104286,651,2,2
TH-103298,585,1,1
TH-103482,558,0,3
TH-101994,575,2,2
TH-100785,850,0,1
TH-100190,543,1,5
TH-100346,609,2,4
TH-102502,624,3,2
TH-100191,596,1,1
TH-102877,709,0,2
TH-103154,675,2,1
TH-100999,690,0,4
TH-100686,624,0,0
TH-100045,540,1,4
TH-103762,476,1,0
TH-102678,525,1,2
TH-103034,579,2,3
TH-104352,633,0,3
TH-104070,666,1,1
TH-104998,572,0,2
TH-104577,647,1,4
TH-102196,692,2,3
TH-102959,597,2,2
TH-104025,664,1,3
TH-100207,585,1,0
TH-104877,541,1,1
TH-100610,556,1,3
TH-100122,688,1,1
TH-101292,626,1,2
TH-104536,498,0,2
TH-102405,626,3,0
TH-104130,608,1,1
TH-103185,647,4,0
TH-100186,518,1,1
TH-104993,574,0,1
TH-100704,613,0,1
TH-103930,578,0,3
TH-101617,536,0,2
TH-104747,604,2,2
TH-100351,525,1,3
TH-103894,558,2,2
TH-102756,573,2,3
TH-104243,607,0,4
TH-102267,670,1,4
TH-104436,607,1,1
TH-103331,504,1,0
TH-103015,638,1,3
TH-101079,648,0,4
TH-102089,725,2,1
TH-102172,692,2,4
TH-103778,639,1,2
TH-104960,635,1,2
TH-104124,496,0,3
TH-101774,678,2,2
TH-102720,647,0,1
TH-103837,627,3,3
TH-102884,604,1,1
TH-100900,607,6,0
TH-100472,590,2,3
TH-103360,622,3,2
TH-101068,710,0,2
TH-100296,601,1,3
TH-102345,645,2,1
TH-104187,502,1,1
TH-103258,593,0,2
TH-101455,651,5,0
TH-100381,706,2,2
TH-102465,556,0,1
TH-103738,584,2,2
TH-103175,687,2,3
TH-100551,576,1,2
TH-101083,618,1,2
TH-101572,672,3,3
TH-100729,559,2,0
TH-103523,592,1,1
TH-104064,563,0,1
TH-104009,600,0,2
TH-100178,591,2,5
TH-102619,729,1,2
TH-100959,496,2,1
TH-104975,459,1,1
TH-104971,713,3,2
TH-100697,529,0,1
TH-103423,553,1,2
TH-100256,656,2,3
TH-104610,590,1,2
TH-101704,671,2,0
TH-100276,621,6,3
TH-102151,586,2,1
TH-103656,584,0,0
TH-100441,662,2,2
TH-102765,497,2,2
TH-104299,638,2,1
TH-103128,658,1,1
TH-102681,440,2,3
TH-102933,593,0,1
TH-104336,647,0,4
TH-101378,606,2,1
TH-100015,635,3,1
TH-102853,520,4,2
TH-103863,706,0,1
TH-104010,721,1,1
TH-100390,486,0,2
TH-101738,619,1,2
TH-104489,494,0,2
TH-104018,618,1,3
TH-101570,604,1,3
TH-104002,651,1,1
TH-102240,714,1,2
TH-100352,584,1,2
TH-100154,636,1,1
TH-100230,601,0,1
TH-100483,715,0,1
TH-102380,782,1,2
TH-102860,650,1,2
TH-102533,650,1,2
TH-104592,601,4,3
TH-103053,652,1,0
TH-104351,809,2,2
TH-103393,605,2,2
TH-101374,661,2,0
TH-104072,764,1,3
TH-101165,550,3,2
TH-103519,710,0,1
TH-102938,563,2,3
TH-101243,537,2,1
TH-102534,614,0,3
TH-101269,714,4,1
TH-103932,623,1,1
TH-102577,596,3,0
TH-100447,651,2,2
TH-100702,627,1,1
TH-102223,442,1,2
TH-101544,620,1,0
TH-103547,627,1,2
TH-102594,647,0,3
TH-102792,506,1,1
TH-102684,735,2,1
TH-103819,623,1,3
TH-100811,625,1,2
TH-100208,640,0,2
TH-104504,576,1,1
TH-104539,736,1,2
TH-103789,706,3,5
TH-100072,600,1,4
TH-100891,799,1,1
TH-100721,575,2,1
TH-104304,513,2,0
TH-103437,572,2,1
TH-102895,570,1,3
TH-100202,628,2,4
TH-100349,697,1,4
TH-103261,577,1,2
TH-102902,626,0,1
TH-100695,565,1,2
TH-104626,533,1,0
TH-103267,681,3,1
TH-101489,660,1,4
TH-104112,524,1,1
TH-103630,467,0,0
TH-103531,679,1,1
TH-102061,646,3,2
TH-103757,687,0,2
TH-103417,674,0,2
TH-101526,542,2,1
TH-101855,626,3,4
TH-104196,604,0,1
TH-102178,604,2,5
TH-102271,784,5,1
TH-102939,578,4,3
TH-103158,648,0,2
TH-102952,691,2,3
TH-102348,622,2,0
TH-104251,749,0,4
TH-100244,605,3,1
TH-102134,612,1,1
TH-102656,522,0,1
TH-100277,566,3,4
TH-103415,608,4,3
TH-104612,603,2,3
TH-100856,621,2,3
TH-100560,587,1,0
TH-104589,678,1,1
TH-104778,488,1,4
TH-103586,710,0,1
TH-101835,551,6,1
TH-103794,647,3,3
TH-103848,513,1,4
TH-103920,689,1,3
TH-100685,557,2,2
TH-104248,809,1,1
TH-104644,646,1,2
TH-103739,663,1,1
TH-103834,703,1,0
TH-100769,516,2,4
TH-103462,576,2,1
TH-103862,497,0,1
TH-101028,524,1,3
TH-104408,649,1,2
TH-102087,721,1,1
TH-101922,524,0,2
TH-103723,538,0,1
TH-104044,486,3,2
TH-101352,435,3,4
TH-102451,452,3,2
TH-101537,610,0,2
TH-104596,580,2,0
TH-104284,571,1,2
TH-100825,739,0,1
TH-100193,578,1,0
TH-100905,603,0,3
TH-102080,479,1,3
TH-100098,564,0,3
TH-101394,787,1,3
TH-100359,653,2,3
TH-100397,583,0,1
TH-103583,453,1,2
TH-100793,707,2,1
TH-104207,641,1,1
TH-104839,565,0,1
TH-101993,584,2,1
TH-102417,622,0,0
TH-101449,665,3,2
TH-101015,630,0,1
TH-104254,534,2,0
TH-103897,590,2,1
TH-102477,565,2,5
TH-103925,611,0,1
TH-100720,653,2,1
TH-101971,615,2,1
TH-101088,594,3,2
TH-103100,663,1,0
TH-104802,638,2,2
TH-103726,749,2,2
TH-100924,539,0,1
TH-103840,563,1,1
TH-104744,524,1,2
TH-102270,631,1,2
TH-102425,701,3,3
TH-100029,654,1,1
TH-102548,539,2,1
TH-104569,583,1,3
TH-100331,657,2,1
TH-101024,613,2,4
TH-104533,711,3,3
TH-101250,578,1,3
TH-104099,619,0,2
TH-100216,737,2,3
TH-102579,655,0,1
TH-103290,646,1,1
TH-103132,669,0,3
TH-102913,584,0,4
TH-104714,602,3,1
TH-100966,672,3,0
TH-102127,692,2,2
TH-100556,657,2,3
TH-104683,647,1,3
TH-104851,538,1,2
TH-101365,655,3,2
TH-101593,714,1,2
TH-101959,590,2,6
TH-102249,669,1,2
TH-104766,599,1,1
TH-104420,666,4,0
TH-102513,481,2,2
TH-101069,606,3,2
TH-102971,633,2,0
TH-100784,672,2,4
TH-100411,636,1,0
TH-101161,609,2,2
TH-103939,657,0,1
TH-101905,594,3,0
TH-100541,691,1,2
TH-102191,641,3,4
TH-101300,661,3,1
TH-102074,558,1,1
TH-102382,508,1,2
TH-101168,630,0,4
TH-104831,647,3,1
TH-100942,514,2,2
TH-100637,645,3,2
TH-100268,661,1,3
TH-100960,767,1,2
TH-101703,629,4,2
TH-102314,646,0,0
TH-103614,514,1,3
TH-100371,642,0,2
TH-101499,716,2,0
TH-102153,656,0,0
TH-104131,699,2,1
TH-103518,565,0,0
TH-102287,617,2,0
TH-100206,658,0,1
TH-100265,600,1,2
TH-104032,538,0,1
TH-101130,510,4,1
TH-104743,584,1,5
TH-103337,594,1,2
TH-104543,664,1,1
TH-104881,625,2,0
TH-102487,647,3,1
TH-102255,771,1,1
TH-104782,704,0,3
TH-104843,631,2,1
TH-100368,635,2,0
TH-104012,743,1,2
TH-101149,540,1,3
TH-104460,606,0,2
TH-102319,604,0,0
TH-101726,535,2,1
TH-101741,683,2,2
TH-100748,628,6,2
TH-101683,595,1,1
TH-102586,692,1,2
TH-101646,602,3,1
TH-100810,773,0,1
TH-100173,634,0,2
TH-101160,653,3,2
TH-102115,564,0,2
TH-101439,735,2,0
TH-102795,542,2,2
TH-101687,599,1,2
TH-103477,595,1,2
TH-103850,529,0,1
TH-101653,663,0,0
TH-100654,527,1,2
TH-101486,697,1,2
TH-102587,637,3,4
TH-100554,536,1,3
TH-103249,497,2,0
TH-102161,698,3,1
TH-100872,617,2,3
TH-103292,642,2,2
TH-103503,489,1,0
TH-102661,814,2,4
TH-101857,481,0,2
TH-104165,606,0,0
TH-104871,605,2,0
TH-103040,748,1,2
TH-103427,489,2,2
TH-104531,592,1,2
TH-104096,483,1,1
TH-100477,527,3,0
TH-104731,719,1,2
TH-102823,603,0,5
TH-101680,633,1,1
TH-100681,486,1,3
TH-104005,747,2,2
TH-104987,604,0,6
TH-104558,619,4,1
TH-104754,664,2,3
TH-102779,506,2,0
TH-102759,653,2,2
TH-102233,596,2,1
TH-100839,719,0,3
TH-103397,531,2,2
TH-100773,666,1,1
TH-100537,747,0,2
TH-102079,557,1,1
TH-103524,578,2,1
TH-100142,603,3,2
TH-101791,692,0,3
TH-102905,649,0,1
TH-103471,700,1,2
TH-101522,590,1,1
TH-100723,557,0,2
TH-104772,597,3,2
TH-100862,572,3,5
TH-102511,650,3,1
TH-102834,667,2,1
TH-104291,529,2,0
TH-102064,431,2,1
TH-101408,681,0,2
TH-100192,669,0,1
TH-101862,642,0,0
TH-100853,668,0,0
TH-100978,638,2,2
TH-101915,549,2,1
TH-104906,623,4,2
TH-104819,726,1,1
TH-104884,529,1,4
TH-100670,700,0,0
TH-103082,628,1,4
TH-104222,679,1,2
TH-100228,655,3,4
TH-103709,674,1,1
TH-101087,653,1,5
TH-102214,599,2,3
TH-103926,671,3,3
TH-102360,749,6,3
TH-101856,682,2,1
TH-102229,557,1,2
TH-100054,613,2,5
TH-104911,688,1,2
TH-104519,728,2,0
TH-104902,646,0,4
TH-101179,676,1,3
TH-101927,583,0,3
TH-102752,601,1,0
TH-100369,668,3,3
TH-102189,684,2,1
TH-102839,614,1,4
TH-103203,648,0,1
TH-100052,582,4,5
TH-100621,560,1,0
TH-101454,678,2,1
TH-101329,564,3,2
TH-103955,631,1,2
TH-100907,710,1,1
TH-101112,590,0,0
TH-103961,532,4,2
TH-102269,624,1,3
TH-104806,556,2,3
TH-104205,613,2,3
TH-104722,633,1,3
TH-104846,678,2,1
TH-102106,573,3,1
TH-102633,601,5,2
TH-103768,617,5,5
TH-101552,571,3,3
TH-100612,558,5,0
TH-100570,621,4,1
TH-100466,720,0,1
TH-102052,636,3,4
TH-104585,540,2,7
TH-102037,636,0,2
TH-101880,635,0,1
TH-102821,691,0,3
TH-102830,665,2,3
TH-103407,553,1,2
TH-104052,593,3,1
TH-103996,562,2,1
TH-102740,572,0,3
TH-103617,583,1,1
TH-101134,777,1,0
TH-102351,655,1,4
TH-104446,735,2,1
TH-100915,563,3,1
TH-102302,591,0,1
TH-102490,643,2,3
TH-103627,558,3,1
TH-104055,681,0,0
TH-102467,606,2,1
TH-100879,624,0,3
TH-101961,717,2,2
TH-101837,697,1,1
TH-104646,672,0,1
TH-103031,536,3,3
TH-100884,611,2,2
TH-102485,674,4,0
TH-104428,599,1,2
TH-104737,565,0,3
TH-102825,820,0,1
TH-104241,648,1,2
TH-101353,642,2,4
TH-104386,569,4,2
TH-102275,671,0,2
TH-104868,783,1,1
TH-100011,523,3,2
TH-102647,603,2,2
TH-104863,602,2,0
TH-103235,572,4,2
TH-103567,572,4,1
TH-104382,669,1,3
TH-100916,632,0,2
TH-103406,487,4,2
TH-101539,635,1,0
TH-102802,561,2,3
TH-101107,542,0,2
TH-103708,721,1,2
TH-103269,412,1,1
TH-102435,614,1,5
TH-103880,634,2,1
TH-100269,518,1,2
TH-104019,659,2,5
TH-104992,741,1,1
TH-103712,746,1,2
TH-101204,362,1,5
TH-104361,498,3,1
TH-101208,676,3,1
TH-101307,764,4,1
TH-102517,523,4,2
TH-102359,656,3,2
TH-100342,694,2,6
TH-101949,583,2,2
TH-102497,559,1,2
TH-102953,685,0,0
TH-101492,585,0,2
TH-102857,610,1,2
TH-104000,645,2,2
TH-104189,463,1,3
TH-104085,573,1,1
TH-100666,761,1,0
TH-102408,657,1,0
TH-100817,597,0,1
TH-101967,527,3,2
TH-100506,768,4,3
TH-103516,604,0,2
TH-102870,624,1,4
TH-102714,636,1,3
TH-102610,585,0,1
TH-101226,598,3,2
TH-100064,606,3,1
TH-103921,511,0,3
TH-100062,515,1,2
TH-104886,590,2,2
TH-104405,662,3,0
TH-104534,548,2,1
TH-104116,559,3,2
TH-104745,612,2,3
TH-101555,591,0,1
TH-103644,673,2,2
TH-100393,595,1,3
TH-104045,682,4,1
TH-103446,450,3,0
TH-102835,739,2,2
TH-101933,658,1,1
TH-100722,443,2,0
TH-104695,578,1,4
TH-100396,724,0,2
TH-100275,651,1,2
TH-101853,583,2,0
TH-104670,611,1,3
TH-101103,625,1,2
TH-103351,770,4,6
TH-102009,732,0,2
TH-104538,725,1,1
TH-104595,666,2,3
TH-101528,668,2,3
TH-100172,667,2,1
TH-102706,740,5,4
TH-101092,663,0,0
TH-103679,619,2,4
TH-100159,588,2,1
TH-103198,619,0,3
TH-100949,656,0,1
TH-101902,641,2,0
TH-103004,645,5,2
TH-101686,637,1,0
TH-104600,530,1,2
TH-101910,650,0,1
TH-103127,678,0,4
TH-104075,677,1,3
TH-103426,633,0,1
TH-101037,597,1,4
TH-101542,647,0,0
TH-101469,691,2,2
TH-104209,578,1,5
TH-101189,496,0,1
TH-104858,776,0,1
TH-101963,589,1,0
TH-102017,702,1,5
TH-103582,642,3,3
TH-102290,622,1,1
TH-100775,719,2,2
TH-100790,573,2,3
TH-102266,576,1,1
TH-102393,447,3,3
TH-102286,505,2,1
TH-102102,669,1,5
TH-102384,647,2,1
TH-104167,675,1,4
TH-104261,653,1,2
TH-104693,565,2,3
TH-104413,570,0,3
TH-103755,498,3,2
TH-104893,650,4,3
TH-104377,652,1,1
TH-101920,577,1,0
TH-104671,610,3,1
TH-103609,570,2,2
TH-103606,626,1,4
TH-102288,586,1,1
TH-102950,653,2,2
TH-103240,502,0,1
TH-100289,613,0,1
TH-102976,622,3,0
TH-100580,600,3,1
TH-104161,647,1,0
TH-102920,567,0,1
TH-102809,692,2,0
TH-100852,600,0,2
TH-102338,601,2,3
TH-102067,572,2,5
TH-101123,555,1,1
TH-100281,682,2,3
TH-104294,672,4,1
TH-101162,671,1,2
TH-101797,726,0,1
TH-102892,678,2,3
TH-104584,636,0,1
TH-104930,626,3,3
TH-104237,626,2,1
TH-101054,662,1,0
TH-100458,589,0,2
TH-103822,794,2,2
TH-103062,616,2,4
TH-100100,525,3,1
TH-104166,542,3,2
TH-103212,529,1,1
TH-103107,588,0,2
TH-100998,721,3,1
TH-104358,748,0,2
TH-100743,801,1,5
TH-103615,752,1,7
TH-101889,769,1,6
TH-104111,702,5,2
TH-102944,620,0,2
TH-103695,560,2,4
TH-103354,546,2,4
TH-104348,579,3,1
TH-100423,609,2,2
TH-101286,646,0,0
TH-103847,598,0,2
TH-103600,623,0,2
TH-100529,520,2,2
TH-102113,584,3,4
TH-104720,668,2,2
TH-103559,628,1,2
TH-104233,714,3,2
TH-103731,596,1,3
TH-102899,718,0,3
TH-103941,512,2,0
TH-101086,447,1,1
TH-101765,616,0,2
TH-101089,731,1,0
TH-103347,551,3,1
TH-103126,647,3,1
TH-103388,578,1,4
TH-101805,833,2,2
TH-104329,699,3,2
TH-103570,525,0,2
TH-101251,599,3,4
TH-103696,799,1,1
TH-102806,487,0,2
TH-101116,451,3,1
TH-101153,632,2,2
TH-103117,611,1,2
TH-102368,771,0,4
TH-100257,555,1,1
TH-103469,660,4,0
TH-102476,450,0,2
TH-100904,588,0,0
TH-101446,637,2,3
TH-103075,562,1,1
TH-101490,591,2,0
TH-104511,706,0,1
TH-100197,585,3,2
TH-100101,605,2,3
TH-104369,585,0,2
TH-102442,548,0,6
TH-101524,552,5,0
TH-104581,443,2,1
TH-102935,621,1,2
TH-102376,495,2,2
TH-100606,512,1,5
TH-100432,663,1,2
TH-104129,639,0,2
TH-102646,630,1,2
TH-100997,513,1,1
TH-100706,590,1,2
TH-101785,708,2,1
TH-104467,729,1,3
TH-104100,583,1,2
TH-100561,525,2,1
TH-104675,616,3,2
TH-102283,511,1,1
TH-100779,625,0,0
TH-102398,592,2,2
TH-100923,588,4,2
TH-104509,516,1,1
TH-102515,638,2,1
TH-104454,768,0,0
TH-102664,555,1,1
TH-102495,690,1,0
TH-103827,523,4,2
TH-101039,655,1,2
TH-100653,649,2,2
TH-101259,591,2,1
TH-104133,658,0,1
TH-100501,666,2,2
TH-104924,540,3,0
TH-103487,688,2,0
TH-101571,580,3,2
TH-102739,550,2,2
TH-100840,313,0,2
TH-104455,581,1,2
TH-101034,711,0,0
TH-101934,598,0,2
TH-103333,484,0,5
TH-101725,617,0,3
TH-104015,516,1,3
TH-102254,671,0,0
TH-101240,660,1,2
TH-101429,570,2,1
TH-101383,437,0,3
TH-103339,462,0,0
TH-103968,659,0,1
TH-104289,735,1,1
TH-103270,675,3,1
TH-101662,596,1,3
TH-100158,508,0,1
TH-103706,603,5,4
TH-104117,705,3,1
TH-100295,641,1,0
TH-100619,549,1,0
TH-104494,730,2,0
TH-100279,694,1,2
TH-104909,597,3,1
TH-104106,691,2,2
TH-103180,471,0,1
TH-100757,672,2,1
TH-104339,586,2,1
TH-102894,493,0,2
TH-100628,546,1,3
TH-100415,644,2,4
TH-103217,710,0,2
TH-103703,564,3,2
TH-101195,568,1,1
TH-104035,626,3,2
TH-102722,664,1,1
TH-100595,646,1,2
TH-103590,759,0,2
TH-100618,627,0,1
TH-104113,510,2,2
TH-101164,609,2,0
TH-101941,615,1,2
TH-102169,567,4,1
TH-100655,582,1,1
TH-101176,661,3,1
TH-103969,691,4,1
TH-103374,496,1,2
TH-103476,703,1,3
TH-103814,659,0,3
TH-102984,614,3,1
TH-101233,510,1,1
TH-103369,578,1,0
TH-102544,463,3,2
TH-104063,665,1,0
TH-104380,560,4,2
TH-103164,630,0,5
TH-102006,570,1,0
TH-103501,542,1,2
TH-104786,726,0,1
TH-101018,694,0,3
TH-104537,596,1,1
TH-102025,747,1,2
TH-101839,684,5,2
TH-101942,723,2,0
TH-102747,650,0,1
TH-104423,577,2,1
TH-103658,627,0,4
TH-102673,716,3,0
TH-104238,681,3,1
TH-100954,599,3,3
TH-100262,553,2,4
TH-104191,668,1,2
TH-100586,660,0,2
TH-101583,698,4,3
TH-100592,621,1,2
TH-102989,589,0,0
TH-101838,600,3,0
TH-103003,613,2,3
TH-101801,624,3,1
TH-103256,647,1,2
TH-102916,664,3,1
TH-102865,793,4,1
TH-103173,528,1,2
TH-102689,533,4,3
TH-103422,793,1,3
TH-102335,541,1,1
TH-103924,547,0,1
TH-102721,627,1,1
TH-101932,648,3,3
TH-103756,744,2,4
TH-103020,583,0,5
TH-104393,465,1,2
TH-103940,615,0,0
TH-101644,675,1,2
TH-103284,748,2,0
TH-102780,844,1,4
TH-103381,633,0,5
TH-104049,608,1,0
TH-104873,570,0,0
TH-100169,543,3,2
TH-102326,623,1,2
TH-104372,585,0,2
TH-102855,657,3,1
TH-102598,570,1,5
TH-104367,562,4,1
TH-102754,690,1,1
TH-100985,658,1,0
TH-101696,628,1,3
TH-102199,704,3,2
TH-103979,605,1,0
TH-100002,501,0,1
TH-104952,718,1,0
TH-101731,554,1,5
TH-104593,715,2,3
TH-100981,506,0,3
TH-103846,746,2,1
TH-104985,718,1,4
TH-104219,683,2,2
TH-100787,579,1,2
TH-103942,806,2,1
TH-103139,579,1,2
TH-100555,513,4,3
TH-100650,649,2,2
TH-102767,683,3,3
TH-104728,627,3,2
TH-100387,561,1,2
TH-100209,687,1,2
TH-103049,540,2,2
TH-103259,447,3,5
TH-103425,476,4,1
TH-104684,605,1,2
TH-102152,605,1,2
TH-100539,553,1,1
TH-100591,560,1,3
TH-104146,666,1,2
TH-100184,496,3,1
TH-101699,666,3,2
TH-104411,606,1,1
TH-103718,601,0,2
TH-100108,565,3,1
TH-104321,625,2,1
TH-101938,570,1,1
TH-101668,623,2,2
TH-100036,480,2,1
TH-101638,585,2,1
TH-101348,655,4,1
TH-100012,586,1,2
TH-102062,545,1,1
TH-103147,705,3,2
TH-100484,662,1,4
TH-101296,595,1,2
TH-102175,477,2,1
TH-104659,524,1,2
TH-104151,563,1,3
TH-104391,646,2,1
TH-103432,571,0,7
TH-100479,640,2,5
TH-100562,708,1,2
TH-103489,655,1,2
TH-103334,618,0,1
TH-101381,625,1,2
TH-100214,816,4,3
TH-101376,610,3,1
TH-102758,615,2,0
TH-103539,641,2,2
TH-100293,622,0,2
TH-102446,713,1,3
TH-100596,503,2,4
TH-103008,555,1,2
TH-104330,635,2,1
TH-103549,681,1,4
TH-100474,680,0,2
TH-101789,566,0,1
TH-100362,609,2,0
TH-103160,765,0,0
TH-100336,553,1,2
TH-101936,639,2,2
TH-104640,583,3,2
TH-102529,753,2,3
TH-100955,726,1,3
TH-104230,637,1,2
TH-104983,657,1,5
TH-102419,687,0,1
TH-102687,550,0,2
TH-103301,516,1,2
TH-103171,654,0,2
TH-101760,626,2,1
TH-103984,452,1,3
TH-103473,586,0,0
TH-101422,678,2,2
TH-101494,658,1,2
TH-101393,552,0,3
TH-104363,579,0,1
TH-102125,713,0,4
TH-104056,740,3,3
TH-100735,532,0,4
TH-101283,726,1,2
TH-100795,420,1,0
TH-104936,511,2,2
TH-102641,657,2,1
TH-102466,804,5,1
TH-103435,801,1,4
TH-100724,671,0,3
TH-100549,700,3,2
TH-102406,641,1,0
TH-101436,805,2,1
TH-102771,648,1,1
TH-101075,674,1,0
TH-103910,652,2,1
TH-103080,663,1,4
TH-100437,576,2,2
TH-104826,667,0,2
TH-101273,655,3,2
TH-104599,632,1,2
TH-100231,527,1,0
TH-102886,652,3,2
TH-100677,508,2,2
TH-104482,714,1,2
TH-100983,641,2,0
TH-101541,598,0,1
TH-102357,535,0,1
TH-101881,718,2,3
TH-100912,638,1,1
TH-100294,611,2,3
TH-100123,620,1,2
TH-103747,589,1,2
TH-101903,543,0,5
TH-104545,540,1,2
TH-104696,663,2,1
TH-104317,492,3,2
TH-100657,610,1,1
TH-104649,548,2,0
TH-101870,691,1,2
TH-100635,590,1,3
TH-103554,590,2,3
TH-102403,642,0,2
TH-100402,615,1,1
TH-102910,562,2,1
TH-102890,526,1,0
TH-102347,620,0,3
TH-101554,551,2,0
TH-100919,669,0,0
TH-103651,658,0,2
TH-101297,690,0,4
TH-101636,585,4,1
TH-103266,652,2,2
TH-101502,557,0,2
TH-101975,688,0,3
TH-104215,592,0,2
TH-101729,678,5,2
TH-100882,662,1,2
TH-101578,674,2,2
TH-100168,700,1,1
TH-104525,595,2,2
TH-102352,627,2,3
TH-103685,679,1,1
TH-103069,664,4,3
TH-100039,620,0,2
TH-102245,495,1,2
TH-102725,688,1,3
TH-101379,633,1,5
TH-101673,566,2,3
TH-100605,589,4,2
TH-101569,626,1,0
TH-104103,588,1,0
TH-100571,555,1,5
TH-104417,677,1,0
TH-103233,690,0,3
TH-100338,709,3,2
TH-103277,559,2,1
TH-103378,575,2,2
TH-101239,641,1,4
TH-100847,610,1,0
TH-100894,545,2,1
TH-102621,531,1,3
TH-103580,567,1,1
TH-101053,702,0,2
TH-104444,579,1,2
TH-103821,629,4,0
TH-104453,490,1,5
TH-102034,539,2,0
TH-103355,516,2,1
TH-102974,574,0,0
TH-103187,578,2,2
TH-100503,666,2,2
TH-103074,619,1,0
TH-102300,729,2,1
TH-104354,509,1,4
TH-103903,567,1,2
TH-102949,701,0,2
TH-103389,483,3,3
TH-100996,673,0,1
TH-102204,599,0,3
TH-102861,574,0,1
TH-104523,617,2,4
TH-102963,683,1,2
TH-100638,654,2,0
TH-103899,550,2,1
TH-104910,599,1,2
TH-100226,594,0,0
TH-101178,544,2,2
TH-100132,529,2,2
TH-103728,611,0,2
TH-100522,783,0,0
TH-104572,648,2,2
TH-100699,721,1,1
TH-102522,685,5,4
TH-103741,524,3,1
TH-102637,605,2,1
TH-103987,688,2,4
TH-101248,565,2,3
TH-104060,619,1,3
TH-104540,575,2,4
TH-103610,651,2,2
TH-103444,554,4,0
TH-104374,425,2,1
TH-104353,708,2,1
TH-103480,652,1,2
TH-102788,533,1,0
TH-104955,655,2,1
TH-101448,656,1,3
TH-102069,513,3,3
TH-102399,462,1,5
TH-100237,624,2,0
TH-104949,649,2,1
TH-103420,604,3,4
TH-103304,561,0,0
TH-100113,611,0,0
TH-102281,653,1,0
TH-102085,593,1,2
TH-104020,534,2,2
TH-100001,656,4,0
TH-100223,576,0,3
TH-100258,523,3,2
TH-100832,705,2,0
TH-101623,576,1,1
TH-100870,639,2,1
TH-100080,692,2,1
TH-100899,580,1,3
TH-100965,698,2,0
TH-102832,479,0,2
TH-104013,595,2,5
TH-101657,707,2,0
TH-101530,622,2,4
TH-104575,483,2,3
TH-104265,512,3,1
TH-104597,592,2,0
TH-104762,521,1,2
TH-104102,647,2,3
TH-104785,568,2,2
TH-104738,597,1,1
TH-103274,595,2,1
TH-100388,629,0,0
TH-103702,673,1,4
TH-100455,674,0,0
TH-104701,724,0,1
TH-101171,572,0,0
TH-103754,602,2,2
TH-103257,550,3,0
TH-104568,515,1,3
TH-100364,668,2,3
TH-100962,558,1,1
TH-102589,633,1,2
TH-100844,638,2,2
TH-104908,654,0,1
TH-102772,687,2,0
TH-104928,622,0,4
TH-102990,669,1,1
TH-104105,724,2,2
TH-100984,512,2,1
TH-100083,557,1,2
TH-102819,719,1,0
TH-101048,607,1,4
TH-103067,642,1,2
TH-100564,503,0,1
TH-101674,563,4,1
TH-102985,551,3,3
TH-102600,598,3,1
TH-100420,689,3,2
TH-100824,731,2,0
TH-103316,563,1,1
TH-102100,602,1,1
TH-102489,732,0,1
TH-103593,530,2,2
TH-101036,564,4,1
TH-102970,527,3,2
TH-104707,611,0,2
TH-100604,783,1,3
TH-102203,574,2,5
TH-100710,700,1,1
TH-101222,610,0,1
TH-103137,621,3,1
TH-104603,717,2,6
TH-101236,451,2,2
TH-100892,777,4,2
TH-103690,653,2,1
TH-103019,504,0,2
TH-100969,631,3,2
TH-102369,718,1,1
TH-104033,529,1,1
TH-100958,563,1,0
TH-104047,685,2,1
TH-104089,633,0,1
TH-100307,577,0,3
TH-104277,502,2,1
TH-100659,598,2,1
TH-103760,783,1,3
TH-101647,636,1,1
TH-104091,577,3,0
TH-104583,720,1,3
TH-101817,488,3,3
TH-101354,709,0,1
TH-100450,724,0,1
TH-100452,544,2,4
TH-100004,667,1,2
TH-100603,625,3,2
TH-101261,712,1,2
TH-101219,614,2,1
TH-102387,686,0,0
TH-102512,582,1,2
TH-104285,553,0,1
TH-104677,660,1,4
TH-100868,476,2,0
TH-104614,603,3,1
