account_id,origination_date,product,region,customer_age,age_band,monthly_income,loan_amount,outstanding_balance_thb,days_past_due,bad_flag
TH-100661,04/03/2025,personal,Bangkok,28,25 to 34,48700,134000,"89,400",0,0
TH-100662,02/03/2024,personal,Bangkok,24,Under 25,12800,49000,"44,100",0,0
TH-100663,12/05/2024,motorcycle,Bangkok,41,35 to 44,20900,57000,"42,100",0,0
TH-100664,01/04/2023,motorcycle,North,25,25 to 34,15800,29000,"20,900",0,0
TH-100665,02/06/2024,personal,Northeast,46,45 to 54,11200,27000,"17,300",0,0
TH-100666,29/10/2023,motorcycle,Central,53,45 to 54,12300,29000,"19,100",0,0
TH-100667,26/02/2023,personal,North,44,35 to 44,18900,48000,"13,600",14,0
TH-100668,16/08/2024,motorcycle,Northeast,39,35 to 44,9400,25000,"17,300",0,0
TH-100669,11/09/2024,motorcycle,Bangkok,40,35 to 44,,101000,"75,600",0,0
TH-100670,10/10/2023,personal,North,36,35 to 44,38900,227000,"149,700",0,0
TH-100671,18/10/2024,home_improvement,Bangkok,32,25 to 34,9800,31000,"8,600",0,0
TH-100672,21/11/2024,motorcycle,Central,32,25 to 34,15100,45000,"12,400",143,1
TH-100673,17/07/2024,personal,Central,32,25 to 34,34900,127000,"60,000",0,0
TH-100674,17/09/2024,personal,Central,43,35 to 44,,100000,"43,800",0,0
TH-100675,24/10/2024,personal,Bangkok,41,35 to 44,25400,56000,"18,500",0,0
TH-100676,29/12/2024,personal,Bangkok,37,35 to 44,15100,68000,"50,900",0,0
TH-100677,07/01/2024,personal,South,41,35 to 44,80500,240000,"136,200",19,0
TH-100678,12/06/2023,home_improvement,South,29,25 to 34,10100,29000,"15,600",2,0
TH-100679,17/01/2023,personal,North,27,25 to 34,16000,53000,"19,900",0,0
TH-100680,29/11/2024,personal,Bangkok,31,25 to 34,18500,73000,"41,900",30,0
TH-100681,05/10/2023,motorcycle,Central,35,35 to 44,9900,30000,,0,0
TH-100682,28/01/2025,motorcycle,North,54,45 to 54,33200,57000,"50,100",0,0
TH-100683,03/07/2024,personal,Central,35,35 to 44,9000,17000,"4,300",2,0
TH-100684,11/01/2023,home_improvement,Bangkok,33,25 to 34,17000,82000,"67,500",24,0
TH-100685,04/09/2023,auto,Bangkok,45,45 to 54,25700,98000,"57,900",0,0
TH-100686,02/08/2023,auto,Northeast,36,35 to 44,9000,20000,"17,100",0,0
TH-100687,31/07/2024,motorcycle,Central,32,25 to 34,28700,82000,"22,800",0,0
TH-100688,07/02/2025,motorcycle,Bangkok,27,25 to 34,47200,52000,"47,600",0,0
TH-100689,23/07/2023,personal,Bangkok,43,35 to 44,21400,91000,"51,000",0,0
TH-100690,17/12/2024,auto,Central,54,45 to 54,14400,33000,"14,600",0,0
TH-100691,14/09/2024,auto,North,53,45 to 54,11500,22000,"16,100",0,0
TH-100692,09/01/2025,personal,Central,43,35 to 44,15000,53000,"49,000",0,0
TH-100693,09/04/2023,auto,South,40,35 to 44,23200,46000,"28,100",0,0
TH-100694,22/03/2023,home_improvement,North,32,25 to 34,46000,161000,"67,300",0,0
TH-100695,28/08/2023,auto,Central,39,35 to 44,27100,53000,"9,900",12,0
TH-100696,21/01/2023,home_improvement,Northeast,37,35 to 44,,128000,"107,700",0,0
TH-100697,15/08/2023,motorcycle,North,26,25 to 34,16600,63000,"26,200",127,1
TH-100698,25/12/2024,motorcycle,Central,31,25 to 34,32500,110000,"74,400",0,0
TH-100699,23/01/2024,personal,Northeast,45,45 to 54,61600,245000,"167,600",0,0
TH-100700,23/07/2023,motorcycle,Central,31,25 to 34,39300,65000,"28,200",0,0
TH-100701,10/11/2024,auto,Bangkok,26,25 to 34,16000,48000,"35,300",0,0
TH-100702,25/08/2023,motorcycle,Central,35,35 to 44,73700,127000,"53,700",0,0
TH-100703,19/04/2024,auto,North,21,Under 25,18200,46000,"18,300",16,0
TH-100704,08/08/2023,home_improvement,North,41,35 to 44,14200,48000,"29,800",0,0
TH-100705,11/01/2023,personal,Bangkok,35,35 to 44,42200,121000,"84,400",0,0
TH-100706,27/11/2023,motorcycle,North,35,35 to 44,23200,42000,"31,500",0,0
TH-100707,05/09/2024,personal,Central,37,35 to 44,9000,35000,"20,200",0,0
TH-100708,02/07/2023,motorcycle,Bangkok,44,35 to 44,21500,80000,"67,900",1,0
TH-100709,30/10/2024,motorcycle,South,39,35 to 44,29600,35000,"12,100",0,0
TH-100710,06/02/2024,auto,South,26,25 to 34,11500,30000,"18,300",0,0
TH-100711,15/04/2025,personal,Bangkok,34,25 to 34,20800,108000,,0,0
TH-100712,10/07/2023,auto,Bangkok,31,25 to 34,30000,35000,"16,400",0,0
TH-100713,23/03/2024,home_improvement,Central,41,35 to 44,32800,61000,"49,600",8,0
TH-100714,19/06/2024,personal,Bangkok,54,45 to 54,16800,26000,"21,100",0,0
TH-100715,19/07/2024,auto,Bangkok,47,45 to 54,,32000,"7,000",0,0
TH-100716,04/06/2024,personal,South,27,25 to 34,21900,49000,"14,300",0,0
TH-100717,13/10/2024,personal,Bangkok,32,25 to 34,22600,52000,"18,100",74,1
TH-100718,02/05/2024,auto,North,41,35 to 44,24300,32000,"12,600",0,0
TH-100719,24/03/2025,motorcycle,Bangkok,44,35 to 44,31600,150000,"46,200",72,1
TH-100720,13/09/2023,home_improvement,South,47,45 to 54,36500,137000,"72,700",0,0
TH-100721,27/08/2023,personal,Central,41,35 to 44,15700,48000,"31,100",0,0
TH-100722,02/11/2023,auto,Northeast,31,25 to 34,17000,50000,"4,600",105,1
TH-100723,08/10/2023,auto,North,48,45 to 54,16600,31000,"27,200",0,0
TH-100724,04/01/2024,motorcycle,South,21,Under 25,9400,18000,"7,600",0,0
TH-100725,16/03/2024,home_improvement,Northeast,31,25 to 34,21700,99000,"32,900",139,1
TH-100726,03/12/2024,title_loan,Northeast,24,Under 25,9500,47000,"19,700",107,1
TH-100727,27/05/2025,auto,Central,23,Under 25,15100,36000,"17,100",0,0
TH-100728,14/03/2024,auto,South,42,35 to 44,26200,49000,"42,200",0,0
TH-100729,13/08/2023,auto,North,25,25 to 34,12600,32000,"20,800",0,0
TH-100730,04/07/2024,motorcycle,Central,43,35 to 44,69800,203000,"179,600",0,0
TH-100731,03/05/2025,auto,North,42,35 to 44,12000,16000,"8,200",0,0
TH-100732,06/02/2025,motorcycle,North,44,35 to 44,13900,57000,"28,900",0,0
TH-100733,13/06/2025,home_improvement,Northeast,44,35 to 44,26700,84000,"43,800",0,0
TH-100734,25/05/2023,personal,North,27,25 to 34,21600,64000,"52,900",0,0
TH-100735,03/01/2024,motorcycle,South,41,35 to 44,9200,37000,"28,300",29,0
TH-100736,31/03/2024,motorcycle,Bangkok,47,45 to 54,13200,30000,"13,700",0,0
TH-100737,29/04/2024,home_improvement,Bangkok,35,35 to 44,23700,24000,"10,900",0,0
TH-100738,27/06/2024,personal,Bangkok,53,45 to 54,22700,92000,"30,200",0,0
TH-100739,16/03/2024,motorcycle,Northeast,42,35 to 44,31700,108000,"46,400",0,0
TH-100740,09/08/2024,motorcycle,Northeast,24,Under 25,21900,38000,"3,200",0,0
TH-100741,29/06/2023,motorcycle,Bangkok,40,35 to 44,19200,68000,"45,400",0,0
TH-100742,22/09/2024,personal,Northeast,30,25 to 34,29000,159000,"111,900",0,0
TH-100743,18/11/2023,personal,South,37,35 to 44,10400,24000,"16,700",0,0
TH-100744,12/05/2025,personal,Central,21,Under 25,11700,46000,"33,500",0,0
TH-100745,31/03/2023,motorcycle,Northeast,51,45 to 54,34300,50000,"30,600",0,0
TH-100746,13/06/2024,motorcycle,North,53,45 to 54,12800,19000,"9,000",0,0
TH-100747,08/06/2025,motorcycle,South,23,Under 25,11400,40000,"14,100",0,0
TH-100748,29/09/2023,auto,Central,22,Under 25,21300,38000,"19,300",0,0
TH-100749,12/06/2024,personal,Bangkok,34,25 to 34,11200,17000,"10,300",0,0
TH-100750,04/02/2023,auto,North,50,45 to 54,36800,80000,"25,600",30,0
TH-100751,05/04/2024,motorcycle,North,28,25 to 34,27700,63000,"21,800",0,0
TH-100752,02/04/2024,motorcycle,Central,37,35 to 44,16200,33000,"22,800",0,0
TH-100753,02/04/2023,title_loan,North,36,35 to 44,11900,26000,"21,400",0,0
TH-100754,17/05/2025,auto,South,50,45 to 54,13500,35000,"21,300",0,0
TH-100755,07/07/2023,home_improvement,Northeast,37,35 to 44,43200,163000,"101,600",61,1
TH-100756,24/08/2024,home_improvement,Bangkok,21,Under 25,25300,71000,"39,000",0,0
TH-100757,05/12/2023,auto,North,43,35 to 44,42900,172000,"97,400",22,0
TH-100758,03/10/2024,motorcycle,North,24,Under 25,16000,38000,"34,800",0,0
TH-100759,19/03/2025,motorcycle,Northeast,41,35 to 44,21000,122000,"92,400",0,0
TH-100760,24/10/2024,auto,Bangkok,31,25 to 34,22000,25000,"7,800",0,0
TH-100761,27/06/2024,title_loan,Central,35,35 to 44,31800,55000,"40,800",0,0
TH-100762,12/04/2023,motorcycle,Bangkok,42,35 to 44,44400,182000,"43,800",0,0
TH-100763,02/12/2024,auto,Northeast,39,35 to 44,12500,34000,"24,200",0,0
TH-100764,14/09/2024,home_improvement,Bangkok,33,25 to 34,11400,22000,"8,500",0,0
TH-100765,25/02/2023,auto,Central,32,25 to 34,19300,66000,"14,500",1,0
TH-100766,13/03/2023,motorcycle,North,23,Under 25,23700,31000,"14,700",0,0
TH-100767,13/07/2023,personal,Central,32,25 to 34,55400,177000,"84,400",0,0
TH-100768,12/05/2024,personal,Bangkok,54,45 to 54,22500,51000,"28,900",0,0
TH-100769,05/09/2023,personal,Bangkok,44,35 to 44,14800,33000,"26,400",0,0
TH-100770,06/01/2025,motorcycle,South,53,45 to 54,38100,115000,"84,500",19,0
TH-100771,06/06/2025,motorcycle,North,40,35 to 44,29800,65000,"39,000",0,0
TH-100772,05/09/2024,auto,Northeast,36,35 to 44,25800,97000,"19,900",0,0
TH-100773,06/10/2023,personal,Bangkok,49,45 to 54,21900,77000,"69,900",0,0
TH-100774,21/08/2024,auto,Central,29,25 to 34,16000,27000,"17,000",0,0
TH-100775,09/11/2023,auto,Bangkok,36,35 to 44,10200,23000,"15,900",0,0
TH-100776,02/04/2024,title_loan,North,30,25 to 34,18500,52000,"28,000",21,0
TH-100777,15/02/2024,personal,North,35,35 to 44,74300,226000,"187,500",0,0
TH-100778,30/01/2025,motorcycle,Bangkok,52,45 to 54,16800,37000,"17,200",0,0
TH-100779,28/11/2023,title_loan,South,36,35 to 44,30700,71000,"39,200",0,0
TH-100780,27/06/2024,motorcycle,Northeast,27,25 to 34,10200,15000,"6,200",0,0
TH-100781,25/05/2025,personal,North,54,45 to 54,22300,61000,"23,000",0,0
TH-100782,06/08/2024,motorcycle,Bangkok,27,25 to 34,,24000,"18,100",0,0
TH-100783,28/03/2025,motorcycle,Bangkok,44,35 to 44,47600,149000,"91,100",7,0
TH-100784,21/09/2023,personal,Central,27,25 to 34,29600,40000,"33,200",0,0
TH-100785,01/08/2023,personal,South,33,25 to 34,17100,40000,"13,700",0,0
TH-100786,26/02/2024,auto,Bangkok,43,35 to 44,34200,88000,"37,700",0,0
TH-100787,21/12/2023,personal,Central,22,Under 25,34200,57000,"22,400",0,0
TH-100788,18/09/2024,home_improvement,Bangkok,42,35 to 44,21100,63000,"34,600",0,0
TH-100789,19/04/2024,auto,Bangkok,33,25 to 34,22700,67000,"55,100",0,0
TH-100790,09/11/2023,personal,South,23,Under 25,15700,24000,"7,200",26,0
TH-100791,13/06/2023,motorcycle,Bangkok,24,Under 25,15900,46000,"24,400",0,0
TH-100792,03/04/2024,motorcycle,Bangkok,41,35 to 44,27100,30000,"23,200",0,0
TH-100793,11/09/2023,auto,Bangkok,33,25 to 34,21700,58000,,0,0
TH-100794,09/06/2023,auto,Northeast,45,45 to 54,37800,50000,"25,100",0,0
TH-100795,03/01/2024,motorcycle,North,27,25 to 34,61300,100000,"72,400",30,0
TH-100796,01/07/2023,auto,North,41,35 to 44,32000,77000,"58,300",0,0
TH-100797,01/11/2024,motorcycle,Bangkok,44,35 to 44,21900,44000,"23,600",0,0
TH-100798,10/01/2023,personal,Central,41,35 to 44,22600,34000,"15,400",0,0
TH-100799,19/09/2024,home_improvement,Central,28,25 to 34,23500,44000,"21,400",0,0
TH-100800,03/05/2024,motorcycle,Bangkok,25,25 to 34,18000,80000,"28,000",0,0
TH-100801,16/04/2024,personal,Northeast,47,45 to 54,,89000,"38,400",0,0
TH-100802,22/10/2024,auto,Bangkok,26,25 to 34,20800,87000,"36,600",16,0
TH-100803,12/03/2025,personal,Northeast,27,25 to 34,25800,61000,"40,600",0,0
TH-100804,22/05/2023,personal,Northeast,34,25 to 34,10400,22000,"19,100",0,0
TH-100805,27/02/2024,personal,North,33,25 to 34,23400,85000,"11,800",0,0
TH-100806,26/02/2024,motorcycle,Bangkok,32,25 to 34,25300,46000,"20,000",15,0
TH-100807,13/08/2024,auto,Bangkok,26,25 to 34,12300,15000,"10,100",0,0
TH-100808,23/03/2024,title_loan,Bangkok,25,25 to 34,18700,39000,"26,600",0,0
TH-100809,29/04/2024,home_improvement,Central,31,25 to 34,31100,70000,"38,600",12,0
TH-100810,29/09/2023,auto,South,30,25 to 34,12300,77000,"60,900",0,0
TH-100811,26/08/2023,title_loan,Bangkok,28,25 to 34,15100,47000,"42,200",0,0
TH-100812,22/10/2024,personal,Bangkok,24,Under 25,31000,65000,"27,900",0,0
TH-100813,13/04/2023,motorcycle,Bangkok,40,35 to 44,26700,88000,"48,000",0,0
TH-100814,15/09/2024,motorcycle,Central,40,35 to 44,34400,83000,"76,400",0,0
TH-100815,05/08/2024,motorcycle,Central,23,Under 25,18000,63000,"29,700",0,0
TH-100816,13/02/2025,home_improvement,Bangkok,39,35 to 44,22500,51000,,21,0
TH-100817,29/10/2023,auto,South,32,25 to 34,21800,50000,"38,700",0,0
TH-100818,02/07/2024,home_improvement,Central,38,35 to 44,20600,26000,"13,100",0,0
TH-100819,21/04/2025,personal,Bangkok,24,Under 25,,122000,"68,400",122,1
TH-100820,15/10/2024,personal,South,33,25 to 34,22100,74000,"46,000",0,0
TH-100821,09/05/2024,motorcycle,North,31,25 to 34,31800,95000,"82,100",0,0
TH-100822,25/12/2024,personal,Northeast,39,35 to 44,42900,98000,"63,700",0,0
TH-100823,14/04/2023,auto,Bangkok,21,Under 25,10900,45000,"11,300",0,0
TH-100824,04/02/2024,home_improvement,Northeast,30,25 to 34,24900,71000,"44,300",0,0
TH-100825,10/09/2023,home_improvement,Bangkok,47,45 to 54,,37000,"29,000",0,0
TH-100826,17/04/2023,title_loan,North,33,25 to 34,22000,63000,"20,500",0,0
TH-100827,17/06/2024,title_loan,Central,38,35 to 44,25400,108000,"52,500",0,0
TH-100828,21/02/2024,motorcycle,North,29,25 to 34,,49000,"2,800",0,0
TH-100829,25/02/2024,home_improvement,Bangkok,50,45 to 54,,36000,"16,000",0,0
TH-100830,31/12/2024,auto,Bangkok,43,35 to 44,9000,19000,,0,0
TH-100831,27/05/2025,personal,Central,27,25 to 34,26700,43000,"13,200",0,0
TH-100832,27/01/2024,auto,Bangkok,26,25 to 34,26000,52000,"28,500",0,0
TH-100833,13/12/2024,motorcycle,Central,24,Under 25,29600,104000,"96,800",0,0
TH-100834,15/01/2025,home_improvement,North,39,35 to 44,9300,16000,"13,200",7,0
TH-100835,24/06/2023,home_improvement,Northeast,27,25 to 34,35100,104000,"40,600",0,0
TH-100836,03/03/2023,personal,Northeast,43,35 to 44,34600,69000,"60,800",0,0
TH-100837,22/02/2025,motorcycle,Northeast,34,25 to 34,28100,148000,"134,900",0,0
TH-100838,07/03/2025,personal,Northeast,31,25 to 34,18500,34000,"20,200",0,0
TH-100839,06/10/2023,home_improvement,North,43,35 to 44,48700,108000,"68,200",0,0
TH-100840,30/11/2023,motorcycle,Northeast,35,35 to 44,12900,17000,"10,500",41,1
TH-100841,31/05/2024,personal,Bangkok,42,35 to 44,15600,57000,"27,900",0,0
TH-100842,15/09/2024,title_loan,Central,41,35 to 44,49200,102000,"67,500",0,0
TH-100843,29/07/2024,personal,Central,22,Under 25,28000,62000,"29,000",0,0
TH-100844,01/02/2024,auto,Bangkok,39,35 to 44,10100,43000,"34,000",16,0
TH-100845,24/04/2023,personal,Bangkok,51,45 to 54,47300,199000,"78,800",105,1
TH-100846,27/05/2025,auto,Bangkok,27,25 to 34,11400,30000,"24,700",0,0
TH-100847,17/01/2024,home_improvement,Bangkok,34,25 to 34,15000,43000,"14,700",0,0
TH-100848,27/02/2025,personal,Bangkok,40,35 to 44,12700,25000,"10,900",0,0
TH-100849,23/06/2024,personal,Northeast,42,35 to 44,12100,35000,"13,500",0,0
TH-100850,12/03/2025,personal,Bangkok,21,Under 25,14700,31000,"18,400",0,0
TH-100851,16/03/2024,personal,South,22,Under 25,29900,115000,"48,400",18,0
TH-100852,14/11/2023,title_loan,Central,47,45 to 54,,82000,"72,100",0,0
TH-100853,10/10/2023,auto,North,24,Under 25,16700,15000,"4,500",0,0
TH-100854,21/03/2025,motorcycle,Bangkok,40,35 to 44,17900,52000,"33,800",0,0
TH-100855,10/07/2024,motorcycle,Northeast,32,25 to 34,17900,37000,"19,900",0,0
TH-100856,03/09/2023,auto,Central,25,25 to 34,92700,587000,"330,900",4,0
TH-100857,23/03/2025,title_loan,North,37,35 to 44,20400,64000,"36,000",73,1
TH-100858,01/04/2024,personal,South,32,25 to 34,42600,57000,"25,600",0,0
TH-100859,26/06/2023,title_loan,Central,37,35 to 44,38600,169000,"108,400",28,0
TH-100860,23/08/2024,home_improvement,Bangkok,29,25 to 34,19700,43000,"16,500",0,0
TH-100861,06/12/2024,auto,Central,52,45 to 54,31900,104000,"85,400",0,0
TH-100862,08/10/2023,title_loan,North,24,Under 25,16000,30000,"12,800",0,0
TH-100863,01/10/2024,personal,Bangkok,27,25 to 34,13900,51000,"20,700",0,0
TH-100864,16/07/2024,motorcycle,Northeast,30,25 to 34,10500,48000,"31,100",0,0
TH-100865,23/10/2024,personal,Northeast,31,25 to 34,9000,33000,"8,100",0,0
TH-100866,26/01/2025,title_loan,South,24,Under 25,9300,65000,"42,500",36,1
TH-100867,15/02/2024,personal,South,48,45 to 54,39400,77000,"63,800",22,0
TH-100868,13/02/2024,motorcycle,Bangkok,48,45 to 54,16200,54000,"31,000",0,0
TH-100869,11/07/2023,motorcycle,Bangkok,34,25 to 34,9000,28000,"15,500",0,0
TH-100870,27/01/2024,personal,Central,51,45 to 54,13300,18000,"14,200",0,0
TH-100871,14/02/2024,title_loan,Bangkok,33,25 to 34,22400,42000,"19,600",0,0
TH-100872,02/10/2023,home_improvement,North,25,25 to 34,52100,90000,"49,200",0,0
TH-100873,22/05/2023,motorcycle,Bangkok,33,25 to 34,18600,39000,"13,300",0,0
TH-100874,03/03/2023,auto,Central,47,45 to 54,19300,71000,"69,300",23,0
TH-100875,07/05/2025,personal,Central,45,45 to 54,12300,25000,"10,600",0,0
TH-100876,10/01/2023,personal,Bangkok,29,25 to 34,12500,21000,"6,800",15,0
TH-100877,23/03/2025,motorcycle,Bangkok,39,35 to 44,31300,45000,"17,100",26,0
TH-100878,02/04/2024,title_loan,Bangkok,34,25 to 34,21400,42000,"36,500",0,0
TH-100879,19/10/2023,motorcycle,South,38,35 to 44,10300,63000,"42,800",0,0
TH-100880,19/01/2023,motorcycle,Bangkok,31,25 to 34,21000,33000,"19,000",71,1
TH-100881,07/07/2023,motorcycle,Central,37,35 to 44,12600,30000,"26,300",0,0
TH-100882,12/01/2024,home_improvement,Bangkok,41,35 to 44,18200,53000,"50,500",0,0
TH-100883,03/10/2024,personal,North,22,Under 25,9100,29000,"24,000",4,0
TH-100884,20/10/2023,motorcycle,Northeast,29,25 to 34,13900,30000,"18,200",0,0
TH-100885,05/05/2025,home_improvement,Bangkok,51,45 to 54,12300,57000,"22,200",0,0
TH-100886,31/05/2025,title_loan,North,28,25 to 34,32500,126000,"87,400",14,0
TH-100887,12/07/2024,home_improvement,Bangkok,50,45 to 54,20500,33000,"12,600",0,0
TH-100888,13/03/2023,auto,Bangkok,27,25 to 34,24200,34000,"26,400",0,0
TH-100889,23/06/2024,personal,Northeast,42,35 to 44,9900,26000,"10,900",0,0
TH-100890,08/07/2023,motorcycle,Northeast,25,25 to 34,36900,107000,"75,100",0,0
TH-100891,27/08/2023,personal,Bangkok,33,25 to 34,17600,74000,"32,900",0,0
TH-100892,07/02/2024,personal,Bangkok,36,35 to 44,16200,55000,"16,300",0,0
TH-100893,09/06/2025,motorcycle,Northeast,42,35 to 44,9000,57000,"15,300",23,0
TH-100894,18/01/2024,home_improvement,South,24,Under 25,27700,70000,"52,500",0,0
TH-100895,11/01/2023,motorcycle,Bangkok,38,35 to 44,13000,17000,"14,700",0,0
TH-100896,25/03/2024,auto,Northeast,38,35 to 44,21700,64000,"40,900",0,0
TH-100897,27/09/2024,auto,Central,37,35 to 44,,26000,"10,800",0,0
TH-100898,15/04/2025,home_improvement,Bangkok,51,45 to 54,16500,39000,"30,700",0,0
TH-100899,27/01/2024,personal,North,37,35 to 44,15800,25000,"20,000",0,0
TH-100900,11/08/2023,personal,Central,42,35 to 44,20200,33000,"5,600",0,0
TH-100901,12/04/2025,auto,Central,34,25 to 34,16600,70000,"54,800",0,0
TH-100902,30/07/2023,personal,Central,53,45 to 54,26300,32000,"21,100",0,0
TH-100903,13/01/2023,auto,Central,34,25 to 34,17800,43000,"24,400",0,0
TH-100904,24/11/2023,home_improvement,Bangkok,35,35 to 44,,62000,"50,200",0,0
TH-100905,10/09/2023,home_improvement,Northeast,41,35 to 44,10900,29000,"27,100",0,0
TH-100906,01/03/2023,motorcycle,North,32,25 to 34,9000,15000,"9,400",0,0
TH-100907,14/10/2023,motorcycle,North,43,35 to 44,16500,44000,"30,400",0,0
TH-100908,10/07/2024,personal,Northeast,27,25 to 34,20400,46000,"29,000",0,0
TH-100909,05/10/2024,personal,North,23,Under 25,,96000,"23,600",0,0
TH-100910,28/04/2024,motorcycle,Central,49,45 to 54,38500,150000,"27,800",12,0
TH-100911,04/02/2025,auto,Central,39,35 to 44,18000,55000,"43,300",0,0
TH-100912,07/01/2024,auto,Bangkok,25,25 to 34,18600,59000,"20,800",0,0
TH-100913,03/11/2024,auto,Bangkok,21,Under 25,33500,266000,"205,700",0,0
TH-100914,21/02/2025,personal,Bangkok,29,25 to 34,14200,19000,"18,700",0,0
TH-100915,18/10/2023,home_improvement,Central,48,45 to 54,25900,102000,"53,900",0,0
TH-100916,23/10/2023,personal,Central,39,35 to 44,29400,46000,"28,100",26,0
TH-100917,19/12/2024,auto,Northeast,47,45 to 54,34500,168000,"113,400",0,0
TH-100918,25/06/2024,motorcycle,Bangkok,50,45 to 54,12100,25000,"15,200",0,0
TH-100919,11/01/2024,personal,Bangkok,42,35 to 44,14900,77000,"49,100",0,0
TH-100920,12/09/2024,auto,Bangkok,30,25 to 34,28700,83000,"56,500",0,0
TH-100921,24/09/2024,personal,Central,34,25 to 34,47500,57000,"30,800",0,0
TH-100922,17/02/2025,personal,Bangkok,44,35 to 44,34200,163000,"104,900",0,0
TH-100923,28/11/2023,motorcycle,North,39,35 to 44,,38000,"17,300",0,0
TH-100924,14/09/2023,personal,Bangkok,43,35 to 44,12000,29000,"20,300",0,0
TH-100925,28/10/2024,motorcycle,Central,28,25 to 34,45700,121000,"77,400",0,0
TH-100926,07/02/2025,auto,North,21,Under 25,28300,51000,"14,400",0,0
TH-100927,02/04/2023,personal,Bangkok,34,25 to 34,29400,46000,"26,900",0,0
TH-100928,26/05/2023,motorcycle,Bangkok,27,25 to 34,25900,63000,"26,700",0,0
TH-100929,05/06/2025,motorcycle,South,25,25 to 34,17500,54000,"27,000",10,0
TH-100930,03/06/2025,auto,Central,36,35 to 44,55000,170000,"128,900",0,0
TH-100931,25/04/2023,home_improvement,Bangkok,28,25 to 34,14500,22000,"11,200",0,0
TH-100932,10/06/2023,personal,Bangkok,44,35 to 44,18600,48000,"17,100",0,0
TH-100933,21/06/2024,title_loan,Northeast,26,25 to 34,13100,68000,"34,900",0,0
TH-100934,01/03/2025,motorcycle,North,33,25 to 34,21700,62000,"39,500",0,0
TH-100935,20/10/2024,auto,Bangkok,35,35 to 44,20600,83000,"49,800",0,0
TH-100936,24/10/2024,motorcycle,Northeast,34,25 to 34,20500,49000,"31,700",0,0
TH-100937,15/03/2023,title_loan,North,35,35 to 44,15700,51000,"17,700",0,0
TH-100938,19/08/2024,auto,Bangkok,22,Under 25,54100,69000,"44,900",0,0
TH-100939,24/02/2023,title_loan,Central,29,25 to 34,15000,42000,"30,100",0,0
TH-100940,29/05/2024,title_loan,Northeast,24,Under 25,16600,55000,"20,100",28,0
TH-100941,11/01/2025,personal,Central,29,25 to 34,27100,90000,"48,800",0,0
TH-100942,23/09/2023,motorcycle,Central,44,35 to 44,13300,24000,"9,200",0,0
TH-100943,14/01/2023,motorcycle,North,45,45 to 54,23000,43000,"19,200",0,0
TH-100944,25/02/2024,auto,Northeast,48,45 to 54,,55000,"47,400",0,0
TH-100945,29/10/2024,title_loan,North,29,25 to 34,17300,53000,"35,600",0,0
TH-100946,04/03/2025,motorcycle,South,41,35 to 44,15300,88000,"36,100",0,0
TH-100947,11/06/2024,auto,Bangkok,32,25 to 34,23000,113000,"66,600",0,0
TH-100948,21/03/2025,home_improvement,South,31,25 to 34,45900,97000,"76,000",0,0
TH-100949,06/11/2023,motorcycle,South,24,Under 25,24600,57000,,0,0
TH-100950,25/08/2024,motorcycle,Bangkok,32,25 to 34,24100,44000,"14,200",10,0
TH-100951,10/07/2023,home_improvement,Central,24,Under 25,37500,68000,"66,600",0,0
TH-100952,04/12/2024,motorcycle,Northeast,36,35 to 44,9000,21000,"14,300",0,0
TH-100953,31/08/2024,motorcycle,Northeast,34,25 to 34,20000,66000,"34,100",168,1
TH-100954,12/12/2023,personal,South,24,Under 25,9000,19000,"12,600",0,0
TH-100955,31/12/2023,motorcycle,Bangkok,29,25 to 34,12500,20000,"15,000",0,0
TH-100956,06/05/2025,motorcycle,Bangkok,47,45 to 54,29200,127000,"88,200",0,0
TH-100957,13/01/2023,motorcycle,South,25,25 to 34,9000,27000,"22,600",0,0
TH-100958,08/02/2024,home_improvement,Bangkok,44,35 to 44,17500,44000,"26,200",0,0
TH-100959,14/08/2023,personal,North,63,55 and over,27000,98000,"53,600",0,0
TH-100960,24/09/2023,motorcycle,Central,25,25 to 34,19600,76000,"44,800",0,0
TH-100961,01/03/2024,auto,Bangkok,53,45 to 54,55700,402000,"364,000",0,0
TH-100962,01/02/2024,personal,North,27,25 to 34,18200,28000,"14,400",0,0
TH-100963,13/02/2023,motorcycle,Bangkok,30,25 to 34,26500,80000,"33,200",0,0
TH-100964,24/02/2025,personal,Central,35,35 to 44,15700,44000,"27,100",0,0
TH-100965,28/01/2024,personal,Central,44,35 to 44,12700,34000,"15,600",0,0
TH-100966,17/09/2023,motorcycle,North,29,25 to 34,50000,62000,"49,700",0,0
TH-100967,07/07/2023,personal,Northeast,21,Under 25,,100000,,0,0
TH-100968,26/01/2023,auto,Northeast,36,35 to 44,12100,16000,"10,100",0,0
TH-100969,07/02/2024,motorcycle,South,52,45 to 54,16600,60000,"32,900",0,0
TH-100970,27/03/2023,title_loan,Bangkok,30,25 to 34,20500,111000,"104,000",0,0
TH-100971,07/01/2025,motorcycle,Central,44,35 to 44,12500,15000,"13,600",0,0
TH-100972,10/02/2023,auto,Central,44,35 to 44,18600,73000,"39,300",0,0
TH-100973,29/07/2023,motorcycle,South,43,35 to 44,34500,64000,"45,400",0,0
TH-100974,10/01/2025,motorcycle,South,29,25 to 34,22000,44000,"23,100",0,0
TH-100975,22/01/2023,motorcycle,North,39,35 to 44,37000,69000,"26,400",20,0
